,2017-2022 NAICS to SIC Crosswalk,,
1711,238220,"Plumbing, Heating, Air-conditioning","Plumbing, Heating, and Air-ConditioningContractors"
1791,238220,Structural Steel Erection,"Plumbing, Heating, and Air-ConditioningContractors"
1796,238220,Installing Building Equipment,"Plumbing, Heating, and Air-ConditioningContractors"
7699,238220,"Repair Services, Nec","Plumbing, Heating, and Air-ConditioningContractors"
1796,238290,Installing Building Equipment,Other Building Equipment Contractors
1799,238290,"Special Trade Contractors, Nec",Other Building Equipment Contractors
7622,238290,Radio and Television Repair,Other Building Equipment Contractors
1742,238310,"Plastering, Drywall, and Insulation",Drywall and Insulation Contractors
1743,238310,"Terrazzo, Tile, Marble, Mosaic Work",Drywall and Insulation Contractors
1752,238310,"Floor Laying and Floor Work, Nec",Drywall and Insulation Contractors
1791,238310,Structural Steel Erection,Drywall and Insulation Contractors
1799,238310,"Special Trade Contractors, Nec",Drywall and Insulation Contractors
1721,238320,Painting and Paper Hanging,Painting and Wall Covering Contractors
1799,238320,"Special Trade Contractors, Nec",Painting and Wall Covering Contractors
1752,238330,"Floor Laying and Floor Work, Nec",Flooring Contractors
1743,238340,"Terrazzo, Tile, Marble, Mosaic Work",Tile and Terrazzo Contractors
1751,238350,Carpentry Work,Finish Carpentry Contractors
1799,238350,"Special Trade Contractors, Nec",Finish Carpentry Contractors
1761,238390,"Roofing, Siding, and Sheetmetal Work",Other Building Finishing Contractors
1799,238390,"Special Trade Contractors, Nec",Other Building Finishing Contractors
1081,238910,Metal Mining Services,Site Preparation Contractors
1241,238910,Coal Mining Services,Site Preparation Contractors
1389,238910,"Oil and Gas Field Services, Nec",Site Preparation Contractors
1481,238910,Nonmetallic Mineral Services,Site Preparation Contractors
1629,238910,"Heavy Construction, Nec",Site Preparation Contractors
1711,238910,"Plumbing, Heating, Air-conditioning",Site Preparation Contractors
1794,238910,Excavation Work,Site Preparation Contractors
1795,238910,Wrecking and Demolition Work,Site Preparation Contractors
1799,238910,"Special Trade Contractors, Nec",Site Preparation Contractors
7353,238910,Heavy Construction Equipment Rental,Site Preparation Contractors
1799,238990,"Special Trade Contractors, Nec",All Other Specialty Trade Contractors
7353,238990,Heavy Construction Equipment Rental,All Other Specialty Trade Contractors
2047,311111,Dog and Cat Food,Dog and Cat Food Manufacturing
723,311119,Crop Preparation Services For Market,Other Animal Food Manufacturing
2048,311119,"Prepared Feeds, Nec",Other Animal Food Manufacturing
2034,311211,"Dehydrated Fruits, Vegetables, Soups",Flour Milling
2041,311211,Flour and Other Grain Mill Products,Flour Milling
2044,311212,Rice Milling,Rice Milling
2099,311212,"Food Preparations, Nec",Rice Milling
2083,311213,Malt,Malt Manufacturing
2046,311221,Wet Corn Milling,Wet Corn Milling
2074,311224,Cottonseed Oil Mills,Soybean and Other Oilseed Processing
2075,311224,Soybean Oil Mills,Soybean and Other Oilseed Processing
2076,311224,"Vegetable Oil Mills, Nec",Soybean and Other Oilseed Processing
2079,311224,Edible Fats and Oils,Soybean and Other Oilseed Processing
2079,311224,Edible Fats and Oils,Soybean and Other Oilseed Processing
2046,311225,Wet Corn Milling,Fats and Oils Refining and Blending
2074,311225,Cottonseed Oil Mills,Fats and Oils Refining and Blending
2075,311225,Soybean Oil Mills,Fats and Oils Refining and Blending
2076,311225,"Vegetable Oil Mills, Nec",Fats and Oils Refining and Blending
2079,311225,Edible Fats and Oils,Fats and Oils Refining and Blending
2043,311230,Cereal Breakfast Foods,Breakfast Cereal Manufacturing
2063,311313,Beet Sugar,Beet Sugar Manufacturing
2061,311314,Raw Cane Sugar,Cane Sugar Manufacturing
2062,311314,Cane Sugar Refining,Cane Sugar Manufacturing
2064,311340,Candy and Other Confectionery Products,Nonchocolate Confectionery Manufacturing
2067,311340,Chewing Gum,Nonchocolate Confectionery Manufacturing
2099,311340,"Food Preparations, Nec",Nonchocolate Confectionery Manufacturing
5441,311340,"Candy, Nut, and Confectionery Stores",Nonchocolate Confectionery Manufacturing
2066,311351,Chocolate and Cocoa Products,"Chocolate and ConfectioneryManufacturing from Cacao Beans"
2064,311352,Candy and Other Confectionery Products,"Confectionery Manufacturing fromPurchased Chocolate"
2066,311352,Chocolate and Cocoa Products,"Confectionery Manufacturing fromPurchased Chocolate"
5441,311352,"Candy, Nut, and Confectionery Stores","Confectionery Manufacturing fromPurchased Chocolate"
2037,311411,Frozen Fruits and Vegetables,"Frozen Fruit, Juice, and VegetableManufacturing"
2038,311412,"Frozen Specialties, Nec",Frozen Specialty Food Manufacturing
2033,311421,Canned Fruits and Specialties,Fruit and Vegetable Canning
2035,311421,"Pickles, Sauces, and Salad Dressings",Fruit and Vegetable Canning
2032,311422,Canned Specialties,Specialty Canning
2034,311423,"Dehydrated Fruits, Vegetables, Soups",Dried and Dehydrated Food Manufacturing
2099,311423,"Food Preparations, Nec",Dried and Dehydrated Food Manufacturing
2023,311511,"Dry, Condensed, Evaporated Products",Fluid Milk Manufacturing
2026,311511,Fluid Milk,Fluid Milk Manufacturing
2021,311512,Creamery Butter,Creamery Butter Manufacturing
2022,311513,Cheese; Natural and Processed,Cheese Manufacturing
2026,311514,Fluid Milk,"Dry, Condensed, and Evaporated DairyProduct Manufacturing"
2024,311520,Ice Cream and Frozen Desserts,"Ice Cream and Frozen DessertManufacturing"
751,311611,"Livestock Services, Except Veterinary",Animal (except Poultry) Slaughtering
2011,311611,Meat Packing Plants,Animal (except Poultry) Slaughtering
2048,311611,"Prepared Feeds, Nec",Animal (except Poultry) Slaughtering
2013,311612,Sausages and Other Prepared Meats,Meat Processed from Carcasses
5147,311612,Meats and Meat Products,Meat Processed from Carcasses
2013,311613,Sausages and Other Prepared Meats,Rendering and Meat Byproduct Processing
2077,311613,Animal and Marine Fats and Oils,Rendering and Meat Byproduct Processing
2015,311615,Poultry Slaughtering and Processing,Poultry Processing
2077,311710,Animal and Marine Fats and Oils,"Seafood Product Preparation andPackaging"
2077,311710,Animal and Marine Fats and Oils,"Seafood Product Preparation andPackaging"
2091,311710,Canned and Cured Fish and Seafoods,"Seafood Product Preparation andPackaging"
2092,311710,Fresh or Frozen Packaged Fish,"Seafood Product Preparation andPackaging"
5461,311811,Retail Bakeries,Retail Bakeries
2051,311812,"Bread, Cake, and Related Products",Commercial Bakeries
2052,311812,Cookies and Crackers,Commercial Bakeries
2053,311813,"Frozen Bakery Products, Except Bread","Frozen Cakes, Pies, and Other PastriesManufacturing"
2052,311821,Cookies and Crackers,Cookie and Cracker Manufacturing
2045,311824,Prepared Flour Mixes and Doughs,"Dry Pasta, Dough, and Flour MixesManufacturing from Purchased Flour"
2098,311824,Macaroni and Spaghetti,"Dry Pasta, Dough, and Flour MixesManufacturing from Purchased Flour"
2099,311824,"Food Preparations, Nec","Dry Pasta, Dough, and Flour MixesManufacturing from Purchased Flour"
2099,311830,"Food Preparations, Nec",Tortilla Manufacturing
2068,311911,Salted and Roasted Nuts and Seeds,"Roasted Nuts and Peanut ButterManufacturing"
2099,311911,"Food Preparations, Nec","Roasted Nuts and Peanut ButterManufacturing"
2052,311919,Cookies and Crackers,Other Snack Food Manufacturing
2096,311919,Potato Chips and Similar Snacks,Other Snack Food Manufacturing
2043,311920,Cereal Breakfast Foods,Coffee and Tea Manufacturing
2087,311920,"Flavoring Extracts and Syrups, Nec",Coffee and Tea Manufacturing
2095,311920,Roasted Coffee,Coffee and Tea Manufacturing
2099,311920,"Food Preparations, Nec",Coffee and Tea Manufacturing
2087,311930,"Flavoring Extracts and Syrups, Nec","Flavoring Syrup and ConcentrateManufacturing"
2035,311941,"Pickles, Sauces, and Salad Dressings","Mayonnaise, Dressing, and Other PreparedSauce Manufacturing"
2099,311941,"Food Preparations, Nec","Mayonnaise, Dressing, and Other PreparedSauce Manufacturing"
2087,311942,"Flavoring Extracts and Syrups, Nec",Spice and Extract Manufacturing
2099,311942,"Food Preparations, Nec",Spice and Extract Manufacturing
2899,311942,"Chemical Preparations, Nec",Spice and Extract Manufacturing
2099,311991,"Food Preparations, Nec",Perishable Prepared Food Manufacturing
2015,311999,Poultry Slaughtering and Processing,"All Other Miscellaneous FoodManufacturing"
2032,311999,Canned Specialties,"All Other Miscellaneous FoodManufacturing"
2034,311999,"Dehydrated Fruits, Vegetables, Soups","All Other Miscellaneous FoodManufacturing"
2087,311999,"Flavoring Extracts and Syrups, Nec","All Other Miscellaneous FoodManufacturing"
2099,311999,"Food Preparations, Nec","All Other Miscellaneous FoodManufacturing"
2086,312111,Bottled and Canned Soft Drinks,Soft Drink Manufacturing
2086,312112,Bottled and Canned Soft Drinks,Bottled Water Manufacturing
5149,312112,"Groceries and Related Products, Nec",Bottled Water Manufacturing
2097,312113,Manufactured Ice,Ice Manufacturing
2082,312120,Malt Beverages,Breweries
2084,312130,"Wines, Brandy, and Brandy Spirits",Wineries
2085,312130,Distilled and Blended Liquors,Wineries
2085,312140,Distilled and Blended Liquors,Distilleries
2111,312230,Cigarettes,Tobacco Manufacturing
2121,312230,Cigars,Tobacco Manufacturing
2131,312230,Chewing and Smoking Tobacco,Tobacco Manufacturing
2141,312230,Tobacco Stemming and Redrying,Tobacco Manufacturing
2141,312230,Tobacco Stemming and Redrying,Tobacco Manufacturing
7389,312230,"Business Services, Nec",Tobacco Manufacturing
2281,313110,Yarn Spinning Mills,"Fiber, Yarn, and Thread Mills"
2282,313110,Throwing and Winding Mills,"Fiber, Yarn, and Thread Mills"
2284,313110,Thread Mills,"Fiber, Yarn, and Thread Mills"
2298,313110,Cordage and Twine,"Fiber, Yarn, and Thread Mills"
2299,313110,"Textile Goods, Nec","Fiber, Yarn, and Thread Mills"
2299,313110,"Textile Goods, Nec","Fiber, Yarn, and Thread Mills"
2299,313110,"Textile Goods, Nec","Fiber, Yarn, and Thread Mills"
2211,313210,"Broadwoven Fabric Mills, Cotton",Broadwoven Fabric Mills
2221,313210,"Broadwoven Fabric Mills, Manmade",Broadwoven Fabric Mills
2231,313210,"Broadwoven Fabric Mills, Wool",Broadwoven Fabric Mills
2299,313210,"Textile Goods, Nec",Broadwoven Fabric Mills
2241,313220,Narrow Fabric Mills,"Narrow Fabric Mills and Schiffli MachineEmbroidery"
2299,313220,"Textile Goods, Nec","Narrow Fabric Mills and Schiffli MachineEmbroidery"
2397,313220,Schiffli Machine Embroideries,"Narrow Fabric Mills and Schiffli MachineEmbroidery"
2297,313230,Nonwoven Fabrics,Nonwoven Fabric Mills
2299,313230,"Textile Goods, Nec",Nonwoven Fabric Mills
2257,313240,Weft Knit Fabric Mills,Knit Fabric Mills
2258,313240,Lace and Warp Knit Fabric Mills,Knit Fabric Mills
2259,313240,"Knitting Mills, Nec",Knit Fabric Mills
2259,313240,"Knitting Mills, Nec",Knit Fabric Mills
2231,313310,"Broadwoven Fabric Mills, Wool",Textile and Fabric Finishing Mills
2251,313310,"Women's Hosiery, Except Socks",Textile and Fabric Finishing Mills
2252,313310,"Hosiery, Nec",Textile and Fabric Finishing Mills
2253,313310,Knit Outerwear Mills,Textile and Fabric Finishing Mills
2254,313310,Knit Underwear Mills,Textile and Fabric Finishing Mills
2257,313310,Weft Knit Fabric Mills,Textile and Fabric Finishing Mills
2258,313310,Lace and Warp Knit Fabric Mills,Textile and Fabric Finishing Mills
2259,313310,"Knitting Mills, Nec",Textile and Fabric Finishing Mills
2261,313310,"Finishing Plants, Cotton",Textile and Fabric Finishing Mills
2262,313310,"Finishing Plants, Manmade",Textile and Fabric Finishing Mills
2269,313310,"Finishing Plants, Nec",Textile and Fabric Finishing Mills
2269,313310,"Finishing Plants, Nec",Textile and Fabric Finishing Mills
2284,313310,Thread Mills,Textile and Fabric Finishing Mills
2299,313310,"Textile Goods, Nec",Textile and Fabric Finishing Mills
5131,313310,Piece Goods and Notions,Textile and Fabric Finishing Mills
5131,313310,Piece Goods and Notions,Textile and Fabric Finishing Mills
7389,313310,"Business Services, Nec",Textile and Fabric Finishing Mills
2295,313320,"Coated Fabrics, Not Rubberized",Fabric Coating Mills
3069,313320,"Fabricated Rubber Products, Nec",Fabric Coating Mills
2273,314110,Carpets and Rugs,Carpet and Rug Mills
2391,314120,Curtains and Draperies,Curtain and Linen Mills
2392,314120,"Household Furnishings, Nec",Curtain and Linen Mills
5714,314120,Drapery and Upholstery Stores,Curtain and Linen Mills
5714,314120,Drapery and Upholstery Stores,Curtain and Linen Mills
2392,314910,"Household Furnishings, Nec",Textile Bag and Canvas Mills
2393,314910,Textile Bags,Textile Bag and Canvas Mills
2394,314910,Canvas and Related Products,Textile Bag and Canvas Mills
3069,314910,"Fabricated Rubber Products, Nec",Textile Bag and Canvas Mills
2296,314994,Tire Cord and Fabrics,"Rope, Cordage, Twine, Tire Cord, and TireFabric Mills"
2298,314994,Cordage and Twine,"Rope, Cordage, Twine, Tire Cord, and TireFabric Mills"
2299,314999,"Textile Goods, Nec","All Other Miscellaneous Textile ProductMills"
2311,314999,Men's and Boy's Suits and Coats,"All Other Miscellaneous Textile ProductMills"
2321,314999,Men's and Boy's Furnishings,"All Other Miscellaneous Textile ProductMills"
2322,314999,Men's and Boy's Underwear and Nightwear,"All Other Miscellaneous Textile ProductMills"
2323,314999,Men's and Boy's Neckwear,"All Other Miscellaneous Textile ProductMills"
2325,314999,Men's and Boy's Trousers and Slacks,"All Other Miscellaneous Textile ProductMills"
2326,314999,Men's and Boy's Work Clothing,"All Other Miscellaneous Textile ProductMills"
2329,314999,"Men's and Boy's Clothing, Nec","All Other Miscellaneous Textile ProductMills"
2331,314999,Women's and Misses' Blouses and Shirts,"All Other Miscellaneous Textile ProductMills"
2337,314999,Women's and Misses' Suits and Coats,"All Other Miscellaneous Textile ProductMills"
2339,314999,"Women's and Misses' Outerwear, Nec","All Other Miscellaneous Textile ProductMills"
2341,314999,Women's and Children's Underwear,"All Other Miscellaneous Textile ProductMills"
2341,314999,Women's and Children's Underwear,"All Other Miscellaneous Textile ProductMills"
2342,314999,"Bras, Girdles, and Allied Garments","All Other Miscellaneous Textile ProductMills"
2353,314999,"Hats, Caps, and Millinery","All Other Miscellaneous Textile ProductMills"
2353,314999,"Hats, Caps, and Millinery","All Other Miscellaneous Textile ProductMills"
